transaction_id,timestamp,type,amount,channel,customer_segment,probabilidad_fraude,nivel_riesgo,alerta,time_window
TXN-10040,2026-04-27 12:38:25,TRANSFER,3600203,API partner,Pyme,0.7,alto,Si,Tarde
TXN-10048,2026-04-27 05:32:54,TRANSFER,3709367,API partner,Pyme,0.7,alto,Si,Noche
TXN-10020,2026-04-28 15:18:35,TRANSFER,3220000,API partner,Pyme,0.69,alto,Si,Tarde
TXN-10022,2026-04-27 10:30:08,TRANSFER,3220000,API partner,Pyme,0.69,alto,Si,Manana
TXN-10043,2026-04-28 13:57:47,TRANSFER,4300000,API partner,Pyme,0.69,alto,Si,Tarde
TXN-10067,2026-04-28 01:45:18,TRANSFER,2392625,Portal web,Retail,0.67,alto,Si,Noche
TXN-10012,2026-04-27 09:24:09,TRANSFER,2580000,Portal web,Pyme,0.65,alto,Si,Manana
TXN-10027,2026-04-27 19:06:52,TRANSFER,2150000,Portal web,Pyme,0.65,alto,Si,Noche
TXN-10064,2026-04-28 22:22:45,TRANSFER,4300000,Portal web,Pyme,0.65,alto,Si,Noche
TXN-10080,2026-04-29 01:20:41,TRANSFER,4300000,Portal web,Retail,0.65,alto,Si,Noche
TXN-10029,2026-04-28 06:19:23,TRANSFER,3144651,Portal web,Retail,0.64,alto,Si,Manana
TXN-10082,2026-04-27 16:34:03,TRANSFER,3869384,App movil,Pyme,0.64,alto,Si,Tarde
TXN-10051,2026-04-27 16:57:21,CASH_OUT,1443515,ATM,Cuenta nueva,0.53,alto,Si,Tarde
TXN-10006,2026-04-27 17:39:57,CASH_OUT,2228155,ATM,Cuenta nueva,0.5028,alto,Si,Tarde
TXN-10010,2026-04-28 00:09:48,CASH_OUT,1918749,ATM,Cuenta nueva,0.5,alto,Si,Noche
TXN-10015,2026-04-28 21:44:37,CASH_OUT,3088576,Portal web,Cuenta nueva,0.5,alto,Si,Noche
TXN-10084,2026-04-27 13:41:19,CASH_OUT,1813871,ATM,Cuenta nueva,0.5,alto,Si,Tarde
TXN-10065,2026-04-28 03:36:44,TRANSFER,1950874,App movil,Retail,0.49,alto,Si,Noche
TXN-10026,2026-04-28 13:03:37,CASH_OUT,2644988,App movil,Alto valor,0.4783,alto,Si,Tarde
TXN-10037,2026-04-29 07:18:45,CASH_OUT,1638985,App movil,Retail,0.46,alto,Si,Manana
TXN-10066,2026-04-28 15:43:56,CASH_OUT,1241414,ATM,Retail,0.4186,alto,Si,Tarde
TXN-10002,2026-04-27 11:08:11,TRANSFER,634399,Portal web,Retail,0.12,bajo,No,Manana
TXN-10005,2026-04-27 09:28:53,TRANSFER,706422,App movil,Retail,0.12,bajo,No,Manana
TXN-10014,2026-04-27 20:32:33,TRANSFER,280011,App movil,Retail,0.12,bajo,No,Noche
TXN-10018,2026-04-28 23:04:12,TRANSFER,796691,App movil,Pyme,0.12,bajo,No,Noche
TXN-10019,2026-04-27 02:06:34,TRANSFER,955725,App movil,Pyme,0.12,bajo,No,Noche
TXN-10021,2026-04-28 20:21:41,TRANSFER,333905,App movil,Retail,0.12,bajo,No,Noche
TXN-10024,2026-04-28 17:42:29,TRANSFER,595359,App movil,Pyme,0.12,bajo,No,Tarde
TXN-10031,2026-04-28 09:33:46,TRANSFER,754929,Portal web,Pyme,0.12,bajo,No,Manana
